AIRLINE,ORIGIN AIRPORT,DESTINATION AIRPORT,DEPARTURE_DELAY,ARRIVAL_DELAY,CANCELlATION
MQ,MSN,DFW,-200,-200,1
MQ,CMH,LGA,-5,-20,0
OO,SBP,LAX,-2,-9,0
OO,COS,IAH,-1,13,0
OO,OAK,SLC,-3,-1,0
OO,LAR,DEN,-4,11,0
OO,SAN,LAX,-1,-5,0
OO,BFL,SFO,-7,-10,0
OO,DRO,PHX,16,56,0
OO,MRY,PHX,-5,-15,0
OO,FAT,PHX,-1,10,0
NK,MSP,ORD,2,-19,0
NK,DFW,ORD,3,-17,0
OO,BIS,DEN,-4,-9,0
HA,ITO,HNL,-1,1,0
B6,PBI,LGA,12,11,0
OO,SAT,ORD,29,-3,0
UA,FLL,IAH,-6,-5,0
US,BUF,CLT,5,4,0
UA,SEA,ORD,-7,-28,0
WN,CMH,FLL,3,-9,0
WN,LAS,HOU,-2,-2,0
WN,PVD,MCO,11,-4,0
WN,SAN,BWI,0,-23,0
WN,SAN,MDW,-3,-29,0
WN,SMF,PHX,-5,-10,0
UA,SAN,DEN,-2,-9,0
UA,SAN,EWR,-5,-42,0
US,SJC,PHX,-6,-9,0
AA,SJC,DFW,-200,-200,1
AA,DFW,BOS,-6,-5,0
AA,SAN,DFW,-8,-24,0
AA,LAX,DFW,-1,-1,0
AS,ONT,SEA,-7,-10,0
AA,RDU,MIA,-8,10,0
DL,ROC,ATL,3,-10,0
DL,MCO,ATL,-7,-9,0
DL,DCA,MSP,-1,6,0
EV,CAE,IAH,1,24,0
EV,BTR,ATL,0,-14,0
F9,IAD,MSP,-11,-15,0
MQ,SAV,DFW,-200,-200,1
MQ,GRI,DFW,-200,-200,1
NK,PDX,SAN,-4,-12,0
NK,DFW,MSP,5,-5,0
OO,PSP,SLC,10,9,0
OO,ISN,MSP,-3,-7,0
OO,HLN,DEN,0,3,0
UA,MCO,IAH,16,20,0
B6,BOS,RIC,-5,-11,0
F9,BZN,DEN,-9,-12,0
OO,FAT,SLC,-2,12,0
OO,FSD,DEN,4,-2,0
NK,IAH,ORD,-3,-15,0
UA,EWR,IAH,-1,-3,0
DL,PIT,DTW,-3,-31,0
US,FLL,CLT,-9,-10,0
UA,MIA,EWR,-1,3,0
WN,DEN,ATL,0,-19,0
WN,MDW,PHX,0,11,0
US,LAX,PHL,-1,-17,0
AA,IAD,DFW,-3,17,0
AA,LAX,AUS,-200,-200,1
AA,CLT,DFW,-5,7,0
AA,PHL,DFW,164,167,0
AA,DFW,CLT,-7,-18,0
AA,ATL,DFW,-200,-200,1
AA,RDU,DFW,-7,5,0
AA,SAT,DFW,-6,-22,0
AS,FAI,SEA,-11,4,0
B6,FLL,BOS,-1,5,0
B6,RSW,BOS,3,3,0
DL,MIA,ATL,-4,-19,0
DL,BWI,MSP,44,36,0
DL,MDT,ATL,-6,-35,0
B6,EWR,BOS,-6,-11,0
EV,SCE,DTW,-15,-25,0
F9,GEG,DEN,-7,-6,0
MQ,LEX,DFW,-200,-200,1
MQ,VPS,DFW,-200,-200,1
NK,BWI,ORD,-6,4,0
OO,SBA,PHX,-3,12,0
OO,SBP,PHX,-8,-11,0
EV,PNS,IAH,-6,-4,0
OO,COS,DEN,-6,-9,0
EV,CLE,ORD,-4,-10,0
HA,LIH,HNL,-7,-9,0
OO,TWF,SLC,-1,1,0
DL,SAN,ATL,-1,-19,0
UA,BDL,ORD,11,5,0
US,LAX,PHX,-5,4,0
US,EWR,PHX,0,22,0
US,PHL,CLT,0,-2,0
UA,AUS,IAH,28,20,0
UA,SFO,EWR,76,55,0
OO,RNO,SFO,-11,-6,0
WN,SEA,MDW,4,-9,0
WN,SJU,TPA,-1,3,0
UA,HNL,LAX,2,-15,0
US,CLT,PHL,-7,-1,0
US,JFK,PHX,-2,5,0
US,SAN,PHX,-7,7,0
US,ONT,PHX,164,156,0
AA,MIA,CLT,-6,-11,0
AA,PBI,ORD,-4,8,0
AA,EWR,DFW,-3,10,0
AS,ANC,OTZ,-8,-10,0
AS,SAN,SEA,-3,-9,0
AS,SAN,PDX,-6,-8,0
B6,JFK,LAX,-3,4,0
B6,LGA,MCO,-1,-30,0
B6,JFK,RSW,-2,-17,0
B6,BOS,PIT,19,2,0
DL,SFO,JFK,-2,-20,0
DL,MSP,ATL,-4,-16,0
DL,AUS,ATL,-5,-22,0
DL,COS,ATL,2,-7,0
DL,DTW,ATL,-2,-31,0
DL,MSY,LGA,-6,-3,0
DL,SEA,ATL,1,13,0
DL,EWR,ATL,-1,-38,0
DL,TPA,ATL,-1,-15,0
EV,BPT,DFW,0,1,0
EV,RIC,IAD,-1,-7,0
EV,EWR,JAX,0,-13,0
EV,GPT,IAH,-7,-5,0
F9,TPA,DEN,80,69,0
F9,RSW,DEN,17,9,0
F9,DEN,DFW,4,17,0
F9,CLE,MCO,-2,-6,0
MQ,GPT,DFW,-200,-200,1
MQ,MGM,DFW,-200,-200,1
OO,SAN,LAX,-10,-16,0
NK,ACY,MYR,-9,10,0
OO,STC,ORD,-7,7,0
OO,BOI,LAX,-6,-9,0
OO,SFO,SAN,7,-4,0
OO,MSP,LAX,0,12,0
OO,BFL,PHX,0,-1,0
UA,TPA,ORD,-2,-5,0
EV,ORD,IAD,-5,-17,0
HA,HNL,OGG,-5,-6,0
B6,JFK,MSY,-8,2,0
OO,MKE,ORD,-10,-25,0
UA,MIA,ORD,-2,19,0
US,SEA,PHL,-8,-23,0
WN,SAT,ATL,-1,-10,0
WN,PDX,MDW,-3,-6,0
US,LAS,PHX,-7,-13,0
AA,JAX,DFW,13,8,0
AA,MSY,DFW,-200,-200,1
AA,PIT,DFW,-8,-27,0
AA,COS,DFW,-12,-9,0
AS,SEA,SAN,-6,-8,0
AS,PDX,SAN,-7,-12,0
AS,SEA,SLC,-10,-10,0
B6,PVD,MCO,-6,8,0
B6,HPN,PBI,-11,-26,0
AA,JFK,LAS,21,45,0
DL,MLB,ATL,-3,-17,0
DL,PIT,ATL,-2,-41,0
DL,SAN,MSP,-3,-10,0
EV,ABE,ATL,-7,-20,0
MQ,SPI,DFW,-200,-200,1
OO,PLN,DTW,-9,-1,0
OO,PDX,ONT,0,-13,0
UA,RSW,EWR,-6,-15,0
DL,SJC,MSP,-5,-2,0
OO,CIU,DTW,-3,-17,0
US,MCO,CLT,-3,-8,0
US,BWI,CLT,-3,-2,0
US,EWR,CLT,8,-9,0
WN,AUS,ATL,-3,-19,0
WN,CAK,MCO,-4,-16,0
WN,FLL,LAS,-1,-15,0
WN,MKE,LAS,-5,-12,0
WN,PHX,MDW,-7,-16,0
WN,SJC,LAS,0,-5,0
UA,LAS,EWR,-1,-37,0
UA,ORD,EWR,3,2,0
AA,DSM,DFW,-7,-3,0
AA,IAH,DFW,-200,-200,1
AA,RIC,DFW,-4,-7,0
AS,BLI,SEA,-8,14,0
AS,PDX,LAX,3,-5,0
AS,SEA,PSP,-4,-16,0
AS,LAX,PDX,-1,-7,0
AS,SEA,DFW,-7,10,0
AS,SLC,SJC,67,50,0
AA,BDL,MIA,-6,20,0
DL,RSW,ATL,0,-8,0
DL,TPA,LGA,-6,-11,0
DL,MCO,LGA,-2,-7,0
DL,SFO,MSP,-4,-5,0
EV,CRP,DFW,-2,-11,0
EV,SHV,DFW,16,14,0
EV,BTR,DFW,-1,8,0
EV,MLU,DFW,3,-10,0
MQ,PIA,DFW,-200,-200,1
MQ,ROW,DFW,-200,-200,1
MQ,FWA,DFW,-200,-200,1
MQ,CHS,MIA,-6,11,0
MQ,GSO,MIA,-3,-1,0
NK,LGA,FLL,108,97,0
NK,DTW,ATL,-2,-11,0
NK,DTW,FLL,3,-16,0
OO,PDX,BUR,-2,-3,0
OO,MSN,ORD,3,17,0
OO,COS,LAX,-6,-20,0
OO,GCC,DEN,0,-16,0
UA,LAX,IAH,-8,-22,0
UA,SNA,IAH,8,-15,0
UA,BUF,ORD,33,37,0
VX,SFO,LAX,-7,-16,0
WN,DAL,MDW,4,-26,0
WN,LIT,DAL,3,-2,0
WN,MHT,MCO,0,-18,0
WN,ALB,MCO,-1,-29,0
WN,SAT,BWI,-3,-25,0
WN,OKC,ATL,-4,2,0
US,SNA,PHX,0,-12,0
AA,DFW,STL,-200,-200,1
AA,LGA,DFW,-4,-3,0
AA,LAS,ORD,-4,-18,0
AA,BNA,MIA,-4,-12,0
AA,MSP,MIA,29,16,0
AA,SNA,DFW,0,-14,0
AA,MIA,DCA,33,31,0
B6,JFK,BOS,-7,-12,0
B6,BOS,DTW,-3,-12,0
DL,OMA,ATL,-8,,0
DL,PIT,MSP,-3,-23,0
DL,SNA,ATL,-4,-21,0
DL,FLL,ATL,-6,-19,0
DL,SNA,MSP,-3,-8,0
DL,ATL,LGA,-1,8,0
DL,BHM,ATL,-1,-26,0
DL,BNA,ATL,-3,-20,0
AA,FLL,DFW,-200,-200,1
DL,SAN,JFK,-3,-31,0
AA,BHM,DFW,-1,-5,0
EV,HOB,IAH,-200,-200,1
EV,LNK,DEN,32,28,0
