AIRLINE,ORIGIN AIRPORT,DESTINATION AIRPORT,DEPARTURE_DELAY,ARRIVAL_DELAY,CANCELlATION
DL,CMH,ATL,-6,-25,0
DL,SLC,DFW,-4,-14,0
DL,SEA,DTW,0,-18,0
EV,EWR,CLT,21,40,0
HA,HNL,LIH,-3,-1,0
OO,TUL,DEN,74,77,0
OO,SLC,CNY,-12,-29,0
AS,SCC,BRW,191,182,0
B6,BOS,FLL,10,39,0
DL,PIT,ATL,-5,-19,0
EV,DTW,EWR,4,-4,0
UA,SFO,MCO,84,97,0
DL,ATL,RSW,-1,-10,0
DL,ATL,DFW,-4,-11,0
DL,ATL,SAT,14,-3,0
DL,RDU,ATL,-5,-19,0
DL,ATL,LAX,0,-24,0
B6,TPA,BOS,10,-8,0
EV,ATL,ILM,-2,-7,0
UA,SAN,IAH,-8,-14,0
UA,ORD,JAC,51,59,0
UA,ORD,LGA,14,0,0
US,PHX,CLT,2,0,0
US,PHX,EWR,-1,-3,0
US,CLT,SJU,0,-5,0
US,PHL,STT,45,51,0
US,PHL,TPA,-8,25,0
US,CLT,PHX,-1,-4,0
US,CLT,LAX,17,-15,0
US,MCO,PHX,0,-8,0
VX,JFK,LAS,0,18,0
VX,LAS,LAX,20,11,0
WN,ATL,IND,-2,-6,0
WN,DTW,DEN,77,103,0
WN,ELP,PHX,5,-2,0
WN,HOU,RDU,10,-10,0
WN,LAX,SFO,0,-1,0
WN,AUS,HOU,-4,-11,0
WN,BOS,BWI,-6,-4,0
WN,BWI,MCI,0,9,0
WN,DAL,MCI,-1,1,0
WN,DAL,MDW,19,3,0
WN,PHX,PDX,3,2,0
WN,SAN,IAD,-2,11,0
WN,SAN,SJC,-3,-3,0
WN,MCO,AUS,1,-10,0
WN,MCO,BNA,51,56,0
WN,SJC,DEN,-1,-3,0
AA,LGA,ORD,-6,-8,0
AA,DFW,OKC,70,75,0
AA,LGA,MIA,-3,-7,0
AA,TUS,DFW,-2,6,0
AA,DFW,ORD,54,45,0
AS,ANC,PHX,15,-24,0
AS,GEG,SEA,50,46,0
AS,PDX,ANC,20,2,0
B6,EWR,FLL,2,21,0
DL,SJU,ATL,-7,-25,0
DL,TPA,ATL,-4,-12,0
DL,ATL,ORD,1,0,0
DL,BOS,ATL,-6,-6,0
DL,ATL,MCO,-3,-3,0
DL,ATL,LGA,24,7,0
EV,ORD,GRB,76,85,0
EV,BNA,EWR,38,35,0
EV,ORD,BNA,17,0,0
EV,ORD,MSN,112,103,0
EV,ORD,ATW,75,80,0
F9,LGA,MIA,-2,6,0
MQ,ORD,SYR,153,141,0
MQ,LBB,DFW,34,36,0
MQ,DFW,SAF,-200,-200,1
MQ,DFW,FSD,-2,41,0
MQ,DFW,TYR,0,7,0
NK,SJU,MCO,-6,-18,0
OO,ORD,MKG,-200,-200,1
OO,AUS,IAH,8,2,0
OO,LAX,DFW,-3,7,0
OO,FAT,LAX,-5,-15,0
OO,YUM,PHX,-6,-11,0
OO,PHX,YUM,-1,-2,0
MQ,RST,ORD,208,210,0
UA,ICT,DEN,-7,-10,0
DL,ATL,MSY,0,-9,0
EV,OMA,IAH,7,-7,0
UA,ORD,DFW,18,11,0
US,PHX,STL,-7,18,0
DL,IND,ATL,0,-24,0
EV,MSY,ORD,-8,-12,0
UA,TPA,EWR,-3,-19,0
UA,IAD,ORD,7,12,0
UA,ORD,DEN,169,163,0
US,PHX,DCA,16,23,0
DL,DCA,DTW,26,25,0
DL,BWI,DTW,10,-4,0
DL,FLL,DTW,-5,-18,0
EV,IND,IAD,-2,-3,0
EV,ECP,ATL,36,26,0
OO,PHX,FLG,-4,5,0
UA,ORD,BZN,5,16,0
OO,SLC,SAT,-6,-20,0
US,PHX,DTW,9,20,0
US,PHX,BWI,5,14,0
US,PHX,FLL,5,22,0
US,CLT,FLL,-5,-16,0
US,PHX,AUS,13,16,0
US,PHL,LAX,-1,-5,0
US,CLT,ORD,-5,20,0
US,CLT,PIT,9,0,0
VX,SEA,SFO,-3,-8,0
WN,FLL,BUF,0,-15,0
WN,FLL,DAL,7,4,0
WN,HOU,ABQ,11,9,0
WN,HOU,BHM,-3,-11,0
WN,LAS,ELP,5,8,0
WN,LAS,MDW,4,2,0
WN,LAX,OAK,15,3,0
WN,MDW,PIT,20,9,0
WN,MSY,ATL,17,-2,0
WN,OAK,BUR,-4,-7,0
WN,MCO,IND,4,0,0
WN,MDW,ABQ,29,4,0
AA,LAX,IAD,8,14,0
AA,DFW,EWR,-4,3,0
AA,DFW,STL,34,40,0
AA,DFW,PHX,17,-6,0
AA,DFW,TUS,-2,-19,0
AA,IAH,MIA,-1,0,0
AA,ORD,BOS,70,59,0
AA,LAX,AUS,0,10,0
AA,SJU,DFW,-3,-3,0
AA,LAX,SFO,-3,-14,0
AA,ORD,PSP,-3,-7,0
AS,PDX,LAX,-2,-11,0
AS,SEA,LAS,12,16,0
AS,PDX,DCA,-4,-9,0
AS,OAK,KOA,-6,-18,0
AS,SEA,HNL,1,29,0
B6,JFK,FLL,-5,44,0
DL,SLC,ATL,-3,-26,0
DL,ATL,SJU,-1,-4,0
DL,SLC,OAK,1,-15,0
DL,ATL,BDL,-1,-20,0
DL,ATL,SAV,-1,-11,0
DL,ATL,FLL,-2,-5,0
DL,ATL,ALB,-3,5,0
EV,LGA,CAE,-2,-10,0
HA,SFO,OGG,-1,3,0
HA,SJC,HNL,-3,-5,0
MQ,DFW,JAN,35,30,0
MQ,ORD,MSP,108,119,0
MQ,PNS,DFW,284,318,0
MQ,BNA,LGA,268,258,0
MQ,DFW,XNA,33,32,0
MQ,LGA,DTW,-8,-16,0
NK,DTW,RSW,1,-5,0
OO,PDX,SLC,15,5,0
OO,ORD,FWA,1,-2,0
OO,PHX,SLC,-7,-8,0
OO,PHX,GJT,-1,-9,0
OO,SLC,BTM,-6,-2,0
DL,ATL,PDX,0,0,0
DL,MDW,ATL,24,-1,0
B6,FLL,LGA,39,51,0
OO,LAX,SEA,8,4,0
UA,ORD,SEA,21,38,0
B6,JFK,SYR,-4,15,0
DL,ATL,BNA,0,-2,0
F9,MCO,TTN,73,66,0
OO,SLC,BOI,-7,-15,0
OO,PHX,ABQ,-5,2,0
DL,MKE,ATL,1,-16,0
EV,ROC,DTW,-8,-24,0
EV,GNV,ATL,-9,3,0
EV,LEX,ATL,4,-11,0
US,PHX,DFW,13,31,0
DL,SLC,MSP,-2,-22,0
OO,PHX,TUS,0,23,0
OO,PHX,DRO,-6,-1,0
OO,DEN,JMS,-1,-2,0
UA,DEN,AUS,36,16,0
UA,DEN,PIT,14,7,0
UA,DEN,CLE,5,-9,0
UA,DEN,BWI,-200,-200,1
UA,ATL,EWR,11,-2,0
US,PHX,MCO,6,19,0
US,PHX,TPA,-7,-8,0
US,PHX,MCI,-5,7,0
US,SJC,PHX,-6,-9,0
US,CLT,EWR,-5,-20,0
US,ORD,PHL,38,31,0
OO,DEN,MEM,6,-12,0
WN,ATL,MSP,28,26,0
WN,LAS,PIT,8,4,0
WN,LAS,RNO,13,4,0
WN,LAX,ABQ,19,41,0
WN,OAK,LAS,2,2,0
WN,BWI,MCO,4,9,0
WN,DCA,MDW,-6,-14,0
WN,ORF,MCO,-6,-7,0
WN,PHX,SAN,0,3,0
WN,PIT,MDW,4,2,0
WN,PNS,BNA,7,-2,0
WN,SAN,RNO,-3,-8,0
WN,SFO,LAS,10,8,0
WN,MAF,HOU,-3,-3,0
WN,MCO,SJU,6,10,0
AA,DCA,ORD,9,13,0
AA,MIA,LGA,5,-13,0
AA,SAT,DFW,-200,-200,1
AA,ORD,DFW,45,31,0
AS,SEA,SFO,-4,15,0
AS,PDX,DFW,1,-23,0
AS,ANC,OGG,-10,-50,0
B6,JFK,SJU,13,24,0
B6,MCO,SJU,-3,15,0
DL,LAS,DTW,-3,-12,0
DL,ATL,MIA,-2,-19,0
DL,PHX,MSP,-2,-6,0
DL,ATL,JAX,-9,-3,0
EV,CLL,DFW,95,105,0
EV,DEN,LFT,26,7,0
EV,ATL,MLI,-3,6,0
EV,DEN,LNK,59,47,0
EV,DEN,ISN,48,61,0
MQ,ORD,DBQ,115,103,0
MQ,ORD,FAR,50,63,0
MQ,DAY,ORD,27,97,0
MQ,ORD,OMA,-200,-200,1
OO,DEN,MKE,75,64,0
OO,DEN,FCA,19,26,0
OO,ATL,ORD,184,174,0
OO,PHX,ELP,-1,3,0
UA,DEN,DCA,16,0,0
B6,IAD,BOS,-3,-18,0
B6,ORD,JFK,5,-14,0
DL,ATL,STL,11,-1,0
DL,ATL,SNA,-1,-24,0
EV,ATL,LEX,112,107,0
EV,FAY,ATL,-2,20,0
EV,ATL,AEX,25,28,0
EV,PVD,IAD,-200,-200,1
HA,HNL,ITO,-3,-4,0
UA,DEN,IAD,14,-7,0
UA,DEN,BOS,23,2,0
B6,PBI,BOS,-2,-16,0
DL,ATL,PBI,-2,-2,0
UA,RIC,ORD,105,103,0
US,PHX,JFK,-3,4,0
US,PHX,IAH,-3,5,0
B6,JFK,LAS,31,34,0
DL,ATL,AUS,-2,-23,0
EV,DEN,SDF,6,0,0
OO,DEN,DFW,42,30,0
OO,MSP,ISN,-3,-9,0
UA,SFO,KOA,20,12,0
US,PHX,PIT,12,30,0
US,PHX,OMA,9,26,0
US,PHX,ATL,-4,7,0
US,PHX,BOS,-1,2,0
US,JFK,PHX,62,61,0
US,LGA,CLT,11,13,0
US,MIA,CLT,-3,-11,0
DL,JFK,LAS,6,29,0
DL,ATL,RDU,1,-10,0
B6,LGA,RSW,1,25,0
EV,LGA,CLE,-8,-20,0
EV,STL,IAH,-5,-18,0
EV,IAD,BDL,3,-11,0
EV,ATL,MYR,-4,-3,0
MQ,LGA,RDU,19,6,0
OO,MSP,CLE,-3,2,0
OO,MSP,DIK,-4,23,0
OO,AUS,LAX,6,0,0
UA,DEN,SFO,15,-9,0
UA,IAH,SFO,3,13,0
UA,JFK,SFO,14,24,0
UA,LGA,ORD,-3,-19,0
UA,ORD,SMF,37,34,0
UA,PBI,EWR,-6,-27,0
UA,SFO,ORD,16,-6,0
US,LAS,PHX,-4,-1,0
US,SNA,PHX,-2,-1,0
US,SAN,PHX,-6,0,0
US,MIA,MSY,10,14,0
US,PHX,PHL,-1,47,0
US,CLT,LGA,52,35,0
US,PHL,FLL,5,13,0
US,BOS,DCA,-7,7,0
US,DCA,LGA,2,34,0
US,LGA,DCA,3,0,0
VX,IAD,SFO,0,-2,0
VX,SFO,SAN,-8,-14,0
WN,ATL,FLL,38,19,0
WN,FLL,MDW,-3,-4,0
WN,HOU,DAL,0,2,0
WN,HOU,MDW,35,18,0
WN,LAX,HOU,8,21,0
WN,LAX,PHX,78,76,0
WN,MDW,MSY,19,16,0
WN,BDL,TPA,0,9,0
WN,BHM,MCO,9,2,0
WN,BUR,OAK,-2,-6,0
WN,BWI,LAS,5,1,0
WN,DAL,DCA,2,-24,0
WN,DAL,HOU,21,19,0
WN,DEN,SDF,17,10,0
WN,MCO,CMH,37,34,0
WN,MCO,MKE,29,26,0
WN,SFO,PHX,2,-5,0
WN,SMF,PHX,-2,-4,0
WN,TPA,IND,-2,-2,0
AA,AUS,JFK,-6,-14,0
AA,MIA,ORD,6,-2,0
AA,JFK,LAX,-5,17,0
AA,SNA,DFW,49,63,0
AA,DFW,LGA,3,-21,0
AA,TPA,MIA,-8,-18,0
AA,AUS,DFW,45,40,0
AA,MIA,TPA,73,62,0
AA,DFW,PSP,15,-6,0
AA,DFW,ICT,17,25,0
AS,SJC,SEA,-11,-1,0
AS,SNA,SEA,1,-8,0
B6,FLL,JFK,18,2,0
B6,RSW,DCA,-12,-27,0
B6,JFK,TPA,0,40,0
B6,DCA,MCO,-5,7,0
DL,DTW,MSP,3,-6,0
DL,MSP,BOS,10,-15,0
DL,MSP,LAS,-1,-15,0
DL,ATL,BOS,-2,-25,0
DL,BOS,LGA,1,-11,0
DL,LGA,BOS,4,-17,0
DL,DTW,BOS,-2,-25,0
DL,ATL,EWR,4,-13,0
DL,ATL,PHL,3,-13,0
DL,ATL,CMH,-5,-6,0
DL,ATL,SHV,5,-5,0
EV,MCI,IAH,-8,-11,0
EV,DTW,MDT,0,-14,0
EV,GSP,ATL,-4,-21,0
EV,GSO,LGA,43,43,0
EV,DTW,ELM,4,1,0
EV,ATL,MLU,11,6,0
EV,ATL,LFT,54,43,0
F9,DFW,MEM,-7,-4,0
HA,LAX,HNL,0,-2,0
HA,SAN,HNL,-7,-7,0
HA,SEA,OGG,-11,-10,0
MQ,DFW,GUC,16,5,0
MQ,ORD,ATL,60,52,0
HA,HNL,KOA,40,39,0
MQ,MIA,EYW,-4,-7,0
MQ,AMA,DFW,14,24,0
OO,LAX,CLD,-2,4,0
OO,DEN,CID,31,32,0
OO,SEA,PDX,-4,0,0
OO,PHX,DEN,0,28,0
OO,GEG,SEA,-3,2,0
OO,ORD,DCA,-1,-7,0
OO,DEN,FAR,217,212,0
OO,SAN,DEN,-4,-6,0
OO,DEN,ASE,-3,-11,0
OO,DEN,MLI,3,0,0
B6,DTW,BOS,-10,-13,0
DL,ATL,TYS,-2,-8,0
DL,DTW,RSW,49,18,0
EV,DTW,ABE,8,31,0
EV,IAH,ISN,43,75,0
OO,DEN,MSO,13,26,0
DL,ATL,RIC,4,-12,0
DL,SLC,MCO,-3,-19,0
EV,GSO,IAD,-7,-5,0
OO,IAH,PSP,15,1,0
UA,SEA,SFO,-5,-12,0
UA,DEN,PHL,8,-1,0
EV,DEN,XNA,16,19,0
EV,DEN,HSV,53,50,0
OO,SLC,FCA,12,-1,0
B6,RDU,JFK,0,-6,0
DL,CHS,ATL,1,-12,0
HA,HNL,LIH,-3,1,0
HA,KOA,HNL,-4,-1,0
OO,DEN,MAF,88,79,0
OO,SNA,DEN,20,85,0
OO,DEN,FSD,2,16,0
UA,FLL,EWR,-10,-40,0
UA,DEN,MIA,13,-11,0
UA,EWR,FLL,10,24,0
UA,ORD,SFO,14,-5,0
US,PHX,IND,-6,7,0
US,LAX,PHX,-6,3,0
US,PHX,CMH,-4,13,0
US,DCA,MCO,-6,12,0
US,CLT,JAX,-6,-18,0
US,PHL,RSW,8,9,0
US,MSP,CLT,2,0,0
WN,ATL,RDU,7,-5,0
WN,LAS,DEN,-5,-14,0
WN,MDW,IAD,9,1,0
WN,MDW,MCO,14,17,0
WN,MSP,MDW,26,12,0
WN,BHM,LAS,5,-22,0
WN,CMH,MDW,-3,-14,0
WN,DAL,LBB,-3,-4,0
WN,DAL,MSY,6,1,0
WN,DAL,STL,3,8,0
WN,DEN,AUS,1,-5,0
WN,ONT,LAS,-1,3,0
WN,PHX,ELP,10,26,0
WN,PHX,LIT,23,47,0
WN,PHX,RDU,37,52,0
WN,PHX,SAT,31,38,0
WN,PHX,SDF,17,45,0
WN,SEA,MKE,6,-6,0
WN,LBB,DAL,-2,-10,0
WN,LGA,DEN,-3,-11,0
WN,MCO,RDU,4,-4,0
WN,SFO,LAX,-3,2,0
WN,SJC,PHX,-1,-2,0
WN,STL,MDW,-3,-8,0
AA,BOS,ORD,-2,0,0
AA,PHL,CLT,-4,-11,0
AA,DCA,DFW,-4,30,0
AA,HDN,DFW,7,-2,0
AA,DFW,ATL,16,-1,0
AA,ORD,LAX,90,73,0
AA,DFW,SAT,15,6,0
AS,SAN,SEA,-8,-5,0
DL,MSP,FLL,3,-16,0
DL,MSP,MSY,-5,-24,0
DL,DTW,TPA,-6,-12,0
DL,BWI,ATL,26,9,0
DL,ATL,DSM,-3,-6,0
DL,DTW,LGA,74,85,0
DL,DTW,MCO,1,-22,0
DL,MSP,MIA,-3,-28,0
DL,ATL,CLT,-2,-22,0
EV,BWI,ORD,68,82,0
EV,BTR,ATL,5,6,0
EV,MSP,BDL,0,-18,0
F9,PDX,DEN,9,9,0
MQ,DFW,BTR,8,6,0
MQ,GRR,ORD,8,64,0
MQ,DFW,TXK,35,25,0
MQ,DFW,CLL,46,40,0
MQ,DFW,TLH,13,9,0
NK,DFW,LAS,-5,-25,0
OO,LAX,SJC,8,1,0
OO,DEN,CVG,7,3,0
OO,ATL,SBN,-10,7,0
OO,DTW,DSM,-200,-200,1
OO,DEN,MOT,66,60,0
OO,DEN,GRR,32,25,0
OO,LAX,MSP,-1,5,0
OO,SAN,LAX,6,-1,0
UA,DEN,FLL,5,-12,0
EV,DEN,TUL,8,13,0
NK,ORD,MCO,23,17,0
UA,DEN,IAH,13,-3,0
DL,JAX,ATL,-3,-2,0
EV,LGA,IAD,-200,-200,1
EV,RIC,LGA,-200,-200,1
DL,HOU,ATL,-4,-15,0
EV,OKC,ATL,-1,-10,0
OO,BNA,MSP,-1,11,0
OO,DEN,RAP,10,9,0
OO,RNO,SFO,41,27,0
UA,EWR,MIA,2,2,0
B6,BOS,BUF,-5,-3,0
F9,LAX,DEN,-4,5,0
NK,ATL,FLL,-7,-17,0
OO,LAX,SBA,-2,-4,0
UA,LGA,IAH,30,9,0
UA,DEN,EWR,31,5,0
US,PHX,ORD,-3,3,0
US,PHL,MCO,1,30,0
US,DCA,FLL,-6,19,0
US,PHL,PBI,-5,12,0
VX,LAX,ORD,13,14,0
WN,ATL,STL,0,-9,0
WN,FLL,BWI,3,-13,0
WN,HOU,IND,-8,-18,0
WN,HOU,MSY,15,6,0
WN,HOU,PIT,4,-9,0
WN,LAS,OAK,1,2,0
WN,LAS,OKC,2,6,0
WN,OAK,MDW,12,10,0
WN,BOS,ATL,11,27,0
WN,BWI,ALB,-1,0,0
WN,BWI,BDL,-5,-14,0
WN,BWI,ISP,0,-13,0
WN,BWI,PVD,-9,-24,0
WN,BWI,PWM,-6,-17,0
WN,BWI,ROC,-5,-9,0
WN,DEN,CMH,8,3,0
WN,DEN,IND,9,1,0
WN,DEN,MCI,15,16,0
WN,DEN,MKE,5,5,0
WN,DEN,MSY,28,17,0
WN,DEN,OMA,14,19,0
WN,ONT,OAK,11,7,0
WN,PHX,AUS,25,34,0
WN,PHX,IND,24,44,0
WN,PHX,MCO,19,37,0
WN,PHX,SMF,16,12,0
WN,LIT,MDW,1,-1,0
WN,MCI,BOS,9,2,0
WN,MCO,PIT,0,-10,0
WN,MDW,EWR,14,-1,0
WN,TPA,PVD,20,-2,0
AA,SAN,ORD,10,26,0
AA,MIA,JFK,10,-9,0
AA,MEM,DFW,161,151,0
AA,ORD,PBI,17,12,0
AS,ANC,OME,0,-7,0
AS,SFO,SEA,-1,16,0
AS,PDX,SFO,-7,-4,0
AS,SEA,TUS,-2,-6,0
AS,SEA,MCI,-5,-25,0
AS,SMF,OGG,-11,-23,0
AS,JNU,YAK,1,-12,0
B6,BOS,STT,25,24,0
B6,PBI,HPN,-4,-23,0
DL,SLC,EWR,-3,-28,0
DL,MSP,RSW,0,-25,0
DL,DTW,CLT,5,13,0
DL,MSP,ATL,131,108,0
DL,DAL,ATL,7,-8,0
DL,MSP,LGA,-4,-14,0
EV,DFW,MOB,53,50,0
EV,SPS,DFW,18,11,0
EV,DFW,GGG,-1,-4,0
EV,DTW,EWR,24,41,0
EV,DTW,IND,-3,-7,0
EV,TUL,ATL,-4,-12,0
EV,DTW,HPN,-3,-5,0
EV,DTW,BTV,-2,2,0
EV,ORD,CMH,40,37,0
EV,ORD,SBN,9,17,0
F9,DEN,CVG,-8,0,0
F9,DEN,TPA,29,32,0
F9,DEN,BIS,52,67,0
MQ,PIA,ORD,52,68,0
MQ,LSE,ORD,51,63,0
MQ,EVV,ORD,56,84,0
MQ,CID,ORD,88,120,0
MQ,GPT,DFW,58,59,0
MQ,CLE,ORD,-5,73,0
MQ,GSO,LGA,-200,-200,1
NK,MSY,IAH,38,37,0
OO,ATL,ASE,0,-4,0
OO,ONT,SLC,-10,-12,0
OO,SBP,SFO,25,10,0
OO,DEN,BHM,39,29,0
OO,SFO,MRY,337,337,0
OO,EUG,SFO,-1,3,0
B6,SJU,MCO,18,-4,0
HA,HNL,OGG,-1,-4,0
UA,SFO,LAX,-4,-12,0
B6,LGB,LAS,-4,-7,0
DL,MSP,SNA,-5,-30,0
DL,DTW,ATL,12,-10,0
EV,MEM,IAH,18,7,0
F9,MDT,MCO,-7,9,0
OO,MSP,ATW,-5,-4,0
DL,SEA,SLC,9,0,0
EV,EWR,CHS,27,36,0
EV,EWR,JAX,-1,16,0
EV,ATL,FSM,101,91,0
OO,SNA,SFO,9,-6,0
DL,BHM,ATL,-1,-13,0
EV,BNA,EWR,9,0,0
OO,SMF,LAX,8,-2,0
OO,IAH,BFL,-4,-20,0
UA,ORD,HNL,21,18,0
UA,IAH,MCO,0,-9,0
UA,DEN,ORD,47,52,0
UA,PIT,ORD,5,4,0
US,DEN,CLT,-6,-15,0
US,DTW,CLT,-2,-6,0
US,BDL,CLT,1,10,0
US,MCO,PHL,13,-10,0
US,IAH,CLT,5,-2,0
US,PHL,BOS,-5,-11,0
US,PBI,CLT,-2,7,0
VX,LAX,FLL,26,42,0
WN,LAS,PHX,0,1,0
WN,MDW,PVD,51,,0
WN,BUR,SJC,-4,-10,0
WN,BWI,BNA,-4,0,0
WN,BWI,DAY,0,3,0
WN,BWI,LAX,1,-12,0
WN,BWI,MHT,-1,-8,0
WN,BWI,PIT,-5,-5,0
WN,DAL,LAS,9,-1,0
WN,DAL,LAX,7,-1,0
WN,DAL,SAT,53,47,0
WN,DEN,BNA,7,10,0
WN,DEN,MCO,43,49,0
WN,DEN,STL,4,1,0
WN,PHX,MSY,25,24,0
WN,RNO,LAS,14,16,0
WN,STL,DAL,10,4,0
WN,STL,HOU,5,-2,0
WN,STL,MCI,10,11,0
WN,STL,OKC,8,1,0
WN,STL,TUL,6,2,0
WN,TPA,BWI,-1,-18,0
AA,LAS,JFK,0,-12,0
AA,DEN,MIA,12,10,0
AA,LAX,JFK,16,4,0
AA,SJC,DFW,-7,2,0
AA,DFW,SNA,24,-2,0
AA,MCO,MIA,-7,-13,0
AS,SAN,MCO,-5,-9,0
B6,MCO,EWR,-1,-9,0
B6,BOS,CHS,-1,11,0
AA,RDU,ORD,207,219,0
DL,ATL,EGE,-1,-17,0
DL,MIA,ATL,-3,-16,0
DL,MCO,DTW,-3,-12,0
DL,DTW,PHL,4,3,0
DL,ORD,ATL,0,-6,0
DL,LGA,MSP,25,0,0
DL,DTW,ORD,0,-2,0
DL,PHL,ATL,-2,-25,0
B6,PHL,BOS,-8,-17,0
EV,BTR,DFW,46,53,0
EV,DEN,CMH,8,32,0
EV,IAH,DTW,-2,-16,0
EV,IAH,BTR,-3,-6,0
EV,IAH,CLT,46,26,0
EV,IAH,CMH,0,-6,0
EV,HPN,ATL,-6,-3,0
EV,GRR,MSP,3,-2,0
EV,DTW,PIA,-6,-16,0
EV,CHA,ATL,14,11,0
EV,DTW,GSO,-7,26,0
EV,DAY,EWR,33,19,0
F9,SAN,DEN,-10,-3,0
EV,GSO,ORD,9,19,0
HA,PDX,HNL,-5,2,0
MQ,LFT,DFW,27,25,0
MQ,DFW,ROW,46,,0
MQ,CVG,ORD,91,133,0
MQ,ORD,BDL,28,20,0
MQ,VPS,DFW,-8,16,0
MQ,JAN,DFW,20,16,0
MQ,ORD,CLE,82,80,0
EV,IAH,JAN,111,106,0
OO,GRR,DTW,22,15,0
OO,ORD,MBS,-1,-4,0
OO,DEN,DSM,1,-1,0
OO,APN,DTW,65,54,0
OO,MSP,GRB,-3,-13,0
UA,IAH,LAX,25,5,0
EV,IAH,JAX,-5,-6,0
EV,DTW,LEX,16,7,0
EV,MSP,MDW,-2,-5,0
EV,GTR,ATL,24,10,0
OO,COS,DEN,-8,-7,0
OO,RAP,MSP,26,2,0
OO,ORD,MTJ,3,-10,0
OO,BOI,DEN,47,57,0
UA,IAH,DCA,59,30,0
B6,MCO,LGA,48,55,0
DL,BDL,ATL,-5,-4,0
DL,SAV,ATL,-1,-5,0
EV,IAH,LIT,-9,-17,0
EV,ROC,ORD,55,60,0
MQ,LGA,STL,32,54,0
OO,PDX,SFO,-4,-11,0
OO,ORD,MKE,91,88,0
OO,SJC,SLC,-6,0,0
UA,IAH,LGA,25,22,0
UA,IAH,BOS,4,-30,0
UA,IAH,TPA,-6,-16,0
UA,LAX,ORD,9,-4,0
EV,DCA,CLE,-3,-3,0
EV,BHM,DTW,36,35,0
EV,PIT,IAD,282,280,0
EV,DEN,SHV,59,58,0
EV,GSP,IAD,15,10,0
OO,LGB,SLC,-7,-12,0
OO,BZN,DEN,13,9,0
UA,IAH,ORD,2,-5,0
B6,BOS,MCO,0,38,0
EV,MKE,EWR,11,-1,0
NK,BWI,DFW,-4,0,0
OO,SMF,SLC,5,-7,0
UA,ORD,OGG,16,-4,0
UA,DEN,LGA,6,-7,0
UA,ORD,LAX,30,24,0
US,PHL,SFO,12,18,0
US,FLL,CLT,1,-4,0
US,JFK,CLT,6,14,0
US,PHL,PHX,41,28,0
US,PHL,DEN,-4,26,0
US,SAT,PHL,-3,-21,0
US,RSW,CLT,-6,-9,0
US,DFW,CLT,0,0,0
WN,ATL,MCI,2,-4,0
WN,ATL,SAT,13,27,0
WN,ELP,LAS,119,110,0
WN,HOU,ECP,-3,-12,0
WN,HOU,FLL,-1,-13,0
WN,HOU,TPA,4,-4,0
WN,IND,DCA,-2,-4,0
WN,LAS,FNT,2,-1,0
WN,MKE,LAX,26,7,0
WN,OAK,DEN,0,15,0
WN,BNA,MCO,8,11,0
WN,BWI,BOS,-1,-11,0
WN,BWI,DTW,23,26,0
WN,DEN,BOS,0,-14,0
WN,OMA,MDW,27,32,0
WN,PHX,BUR,31,26,0
WN,PHX,LAX,4,16,0
WN,PIT,MCO,0,-5,0
WN,RSW,MDW,5,4,0
WN,SAN,LAS,1,-5,0
WN,SFO,DEN,-3,-12,0
WN,MCI,MSP,0,0,0
WN,MCI,STL,-3,-7,0
WN,MCO,BDL,1,-14,0
WN,MCO,ISP,-2,-17,0
WN,SJC,LAX,-3,15,0
AA,MCO,DFW,17,15,0
AA,LGA,ORD,71,88,0
AA,DFW,DCA,-5,-27,0
AA,COS,DFW,-11,-17,0
AA,DFW,FLL,29,15,0
AA,DFW,RNO,5,0,0
AS,SEA,OAK,11,18,0
AS,SEA,KOA,-2,2,0
AS,SEA,ANC,9,11,0
B6,BOS,DCA,-2,8,0
AA,DFW,TPA,5,-3,0
AA,ORD,DCA,-2,-8,0
B6,DCA,JAX,-10,0,0
EV,IAH,CVG,-5,-11,0
EV,CID,DTW,-200,-200,1
F9,SFO,PHX,-2,-4,0
EV,IAH,CHS,0,-2,0
MQ,ORD,IND,92,84,0
MQ,ACT,DFW,5,-1,0
MQ,ORD,BUF,180,177,0
MQ,CMH,ORD,-1,78,0
OO,LAX,SLC,-6,7,0
OO,GEG,SLC,-4,-13,0
OO,LAX,SAN,-4,-6,0
B6,BOS,JFK,0,-2,0
HA,HNL,OGG,1,1,0
NK,IAH,DEN,100,88,0
UA,IAH,DEN,7,5,0
EV,IAH,TUL,28,23,0
EV,IAH,HSV,-5,-12,0
EV,IAH,RDU,-4,-26,0
OO,SNA,SLC,-8,-9,0
EV,AGS,ATL,-6,-7,0
OO,SFO,SLC,-7,2,0
DL,PDX,SLC,-5,-11,0
EV,IAH,BNA,26,12,0
EV,AVL,ATL,14,4,0
US,DCA,PHX,-4,7,0
US,TPA,CLT,-4,-18,0
WN,LAS,MSY,74,77,0
WN,LAX,MKE,0,7,0
WN,OAK,HOU,15,18,0
WN,BUR,LAS,1,-4,0
WN,DAL,ICT,13,15,0
WN,PHX,TPA,4,12,0
WN,SAT,DAL,-3,-9,0
WN,SMF,BUR,1,-5,0
WN,SMF,ONT,1,-2,0
WN,SNA,LAS,-3,-10,0
WN,SNA,SJC,-5,-15,0
WN,SNA,SMF,-1,-8,0
WN,STL,MCO,0,-1,0
AA,DFW,JFK,24,23,0
AA,DFW,DEN,-3,-2,0
